champion,field,old,new,source
Gwen,region,"[""Runeterra""]","[""Shadow Isles""]",https://universe.leagueoflegends.com/en_US/champion/gwen/
Gwen,role,"[""""]","[""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/gwen/
Hecarim,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/hecarim/
Heimerdinger,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/heimerdinger/
Hwei,region,"[""Runeterra""]","[""Ionia""]",https://universe.leagueoflegends.com/en_US/champion/hwei/
Hwei,role,"[""""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/hwei/
Illaoi,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/illaoi/
Irelia,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/irelia/
Ivern,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/ivern/
Janna,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/janna/
Jarvan IV,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/jarvaniv/
Jax,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/jax/
Jax,related,"[""Fiora"", ""Kassadin"", ""Aatrox""]","[""Aatrox"", ""Fiora"", ""Kassadin"", ""Zilean""]",https://universe.leagueoflegends.com/en_US/champion/jax/
Jayce,role,"[""Fighter""]","[""Fighter"", ""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/jayce/
Jhin,role,"[""Marksman""]","[""Marksman"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/jhin/
Jhin,related,"[""Shen"", ""Zed"", ""Akali""]","[""Shen"", ""Zed"", ""Akali"", ""Hwei""]",https://universe.leagueoflegends.com/en_US/champion/jhin/
K'Sante,region,"[""Runeterra""]","[""Shurima""]",https://universe.leagueoflegends.com/en_US/champion/ksante/
K'Sante,role,"[""""]","[""Tank""]",https://universe.leagueoflegends.com/en_US/champion/ksante/
Karma,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/karma/
Kassadin,role,"[""Assassin""]","[""Assassin"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/kassadin/
Katarina,role,"[""Assassin""]","[""Assassin"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/katarina/
Kayle,role,"[""Fighter""]","[""Fighter"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/kayle/
Kennen,role,"[""Mage""]","[""Mage"", ""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/kennen/
Kha'Zix,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/khazix/
Kled,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/kled/
Kog'Maw,role,"[""Marksman""]","[""Marksman"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/kogmaw/
LeBlanc,role,"[""Assassin""]","[""Assassin"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/leblanc/
Lee Sin,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/leesin/
Leona,role,"[""Tank""]","[""Tank"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/leona/
Locke,region,[],"[""Demacia""]",https://universe.leagueoflegends.com/en_US/champion/locke/
Locke,role,[],"[""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/locke/
Locke,related,[],"[""Vayne"", ""Evelynn"", ""Morgana""]",https://universe.leagueoflegends.com/en_US/champion/locke/
Locke,race,[],"[""""]",https://universe.leagueoflegends.com/en_US/champion/locke/
Lulu,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/lulu/
Lux,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/lux/
Malphite,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/malphite/
Malzahar,role,"[""Mage""]","[""Mage"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/malzahar/
Maokai,role,"[""Tank""]","[""Tank"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/maokai/
Master Yi,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/masteryi/
Mel,region,"[""Runeterra""]","[""Noxus""]",https://universe.leagueoflegends.com/en_US/champion/mel/
Mel,role,"[""""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/mel/
Milio,region,"[""Runeterra""]","[""Ixtal""]",https://universe.leagueoflegends.com/en_US/champion/milio/
Milio,role,"[""""]","[""Support""]",https://universe.leagueoflegends.com/en_US/champion/milio/
Morgana,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/morgana/
Naafiri,region,[],"[""Shurima""]",https://universe.leagueoflegends.com/en_US/champion/naafiri/
Naafiri,role,[],"[""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/naafiri/
Naafiri,related,[],"[""Aatrox"", ""Kayn"", ""Varus""]",https://universe.leagueoflegends.com/en_US/champion/naafiri/
Naafiri,race,[],"[""Darkin""]",https://universe.leagueoflegends.com/en_US/champion/naafiri/
Nami,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/nami/
Nasus,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/nasus/
Nautilus,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/nautilus/
Neeko,role,"[""Tank""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/neeko/
Nidalee,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/nidalee/
Nilah,region,"[""Runeterra""]","[""Bilgewater""]",https://universe.leagueoflegends.com/en_US/champion/nilah/
Nilah,role,"[""""]","[""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/nilah/
Nocturne,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/nocturne/
Norra,region,[],"[""Bandle City""]",https://universe.leagueoflegends.com/en_US/champion/norra/
Norra,role,[],"[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/norra/
Norra,related,[],"[""Yuumi""]",https://universe.leagueoflegends.com/en_US/champion/norra/
Norra,race,[],"[""""]",https://universe.leagueoflegends.com/en_US/champion/norra/
Nunu & Willump,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/nunu/
Olaf,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/olaf/
Orianna,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/orianna/
Ornn,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/ornn/
Pantheon,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/pantheon/
Poppy,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/poppy/
Quinn,role,"[""Marksman""]","[""Marksman"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/quinn/
Quinn,related,"[""Garen"", ""Jarvan IV"", ""Talon""]","[""Jarvan IV"", ""Garen"", ""Sona""]",https://universe.leagueoflegends.com/en_US/champion/quinn/
Rakan,role,"[""Support""]","[""Support"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/rakan/
Rammus,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/rammus/
Rell,region,"[""Runeterra""]","[""Noxus""]",https://universe.leagueoflegends.com/en_US/champion/rell/
Rell,role,"[""""]","[""Support""]",https://universe.leagueoflegends.com/en_US/champion/rell/
Renata Glasc,region,"[""Runeterra""]","[""Zaun""]",https://universe.leagueoflegends.com/en_US/champion/renataglasc/
Renata Glasc,role,"[""""]","[""Support""]",https://universe.leagueoflegends.com/en_US/champion/renataglasc/
Renata Glasc,related,[],"[""Camille"", ""Ekko"", ""Viktor"", ""Zeri""]",https://universe.leagueoflegends.com/en_US/champion/renataglasc/
Renekton,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/renekton/
Rengar,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/rengar/
Riven,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/riven/
Rumble,role,"[""Fighter""]","[""Fighter"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/rumble/
Ryze,role,"[""Mage""]","[""Mage"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/ryze/
Samira,region,"[""Runeterra""]","[""Noxus""]",https://universe.leagueoflegends.com/en_US/champion/samira/
Samira,role,"[""""]","[""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/samira/
Sejuani,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/sejuani/
Senna,role,"[""Support""]","[""Support"", ""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/senna/
Seraphine,region,"[""Runeterra""]","[""Piltover""]",https://universe.leagueoflegends.com/en_US/champion/seraphine/
Seraphine,role,"[""""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/seraphine/
Shen,role,"[""Tank""]","[""Tank"", ""Melee""]",https://universe.leagueoflegends.com/en_US/champion/shen/
Shyvana,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/shyvana/
Shyvana,related,"[""Jarvan IV"", ""Xin Zhao"", ""Sona""]","[""Jarvan IV"", ""Quinn"", ""Sona""]",https://universe.leagueoflegends.com/en_US/champion/shyvana/
Singed,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/singed/
Sion,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/sion/
Skarner,region,"[""Shurima""]","[""Ixtal""]",https://universe.leagueoflegends.com/en_US/champion/skarner/
Skarner,role,"[""Fighter""]","[""Tank""]",https://universe.leagueoflegends.com/en_US/champion/skarner/
Smolder,role,"[""""]","[""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/smolder/
Sona,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/sona/
Soraka,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/soraka/
Swain,role,"[""Mage""]","[""Mage"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/swain/
Sylas,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/sylas/
Syndra,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/syndra/
Tahm Kench,role,"[""Support""]","[""Support"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/tahmkench/
Taliyah,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/taliyah/
Talon,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/talon/
Taric,role,"[""Support""]","[""Support"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/taric/
Thresh,role,"[""Support""]","[""Support"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/thresh/
Tristana,role,"[""Marksman""]","[""Marksman"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/tristana/
Trundle,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/trundle/
Tryndamere,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/tryndamere/
Twitch,role,"[""Marksman""]","[""Marksman"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/twitch/
Urgot,role,"[""Fighter""]","[""Fighter"", ""Juggernaut""]",https://universe.leagueoflegends.com/en_US/champion/urgot/
Varus,role,"[""Marksman""]","[""Marksman"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/varus/
Varus,race,"[""""]","[""Darkin""]",https://universe.leagueoflegends.com/en_US/champion/varus/
Vayne,role,"[""Marksman""]","[""Marksman"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/vayne/
Vayne,related,"[""Vladimir"", ""Warwick"", ""Sion""]","[""Evelynn"", ""Shaco"", ""Fiddlesticks""]",https://universe.leagueoflegends.com/en_US/champion/vayne/
Vex,region,"[""Runeterra""]","[""Shadow Isles""]",https://universe.leagueoflegends.com/en_US/champion/vex/
Vex,role,"[""""]","[""Mage""]",https://universe.leagueoflegends.com/en_US/champion/vex/
Vi,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/vi/
Viego,region,"[""Runeterra""]","[""Shadow Isles""]",https://universe.leagueoflegends.com/en_US/champion/viego/
Viego,role,"[""""]","[""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/viego/
Vladimir,role,"[""Mage""]","[""Mage"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/vladimir/
Volibear,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/volibear/
Warwick,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/warwick/
Wukong,role,"[""Fighter""]","[""Fighter"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/monkeyking/
Wukong,race,"[""""]","[""Vastaya""]",https://universe.leagueoflegends.com/en_US/champion/monkeyking/
Xayah,role,"[""Marksman""]","[""Marksman"", ""Tank""]",https://universe.leagueoflegends.com/en_US/champion/xayah/
Xerath,role,"[""Mage""]","[""Mage"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/xerath/
Xin Zhao,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/xinzhao/
Yasuo,role,"[""Fighter""]","[""Fighter"", ""Assassin""]",https://universe.leagueoflegends.com/en_US/champion/yasuo/
Yorick,role,"[""Fighter""]","[""Fighter"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/yorick/
Yunara,region,"[""Runeterra""]","[""Ionia""]",https://universe.leagueoflegends.com/en_US/champion/yunara/
Yunara,role,"[""""]","[""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/yunara/
Yuumi,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/yuumi/
Yuumi,related,"[""Lulu"", ""Tristana"", ""Teemo""]","[""Norra"", ""Lulu"", ""Tristana"", ""Teemo""]",https://universe.leagueoflegends.com/en_US/champion/yuumi/
Zaahen,role,"[""""]","[""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/zaahen/
Zaahen,race,"[""""]","[""Darkin""]",https://universe.leagueoflegends.com/en_US/champion/zaahen/
Zac,role,"[""Tank""]","[""Tank"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/zac/
Zed,role,"[""Assassin""]","[""Assassin"", ""Fighter""]",https://universe.leagueoflegends.com/en_US/champion/zed/
Zeri,region,"[""Runeterra""]","[""Zaun""]",https://universe.leagueoflegends.com/en_US/champion/zeri/
Zeri,role,"[""""]","[""Marksman""]",https://universe.leagueoflegends.com/en_US/champion/zeri/
Zilean,role,"[""Support""]","[""Support"", ""Mage""]",https://universe.leagueoflegends.com/en_US/champion/zilean/
Zyra,role,"[""Mage""]","[""Mage"", ""Support""]",https://universe.leagueoflegends.com/en_US/champion/zyra/
